1;2022-06-24;01:27:17.0000000;81
2;2023-05-19;02:58:20.0000000;33
3;2023-12-23;07:27:56.0000000;69
4;2024-01-08;19:49:11.0000000;438
5;2024-06-19;19:51:01.0000000;279
6;2022-08-11;11:48:01.0000000;617
7;2022-05-21;20:06:49.0000000;875
8;2024-03-19;00:03:00.0000000;69
9;2023-04-09;08:47:47.0000000;29
10;2023-01-29;02:44:22.0000000;279
11;2024-07-21;00:53:40.0000000;125
12;2022-02-07;02:24:26.0000000;781
13;2024-07-09;20:34:50.0000000;765
14;2022-12-27;19:48:22.0000000;797
15;2024-08-13;08:50:06.0000000;592
16;2024-05-29;16:59:13.0000000;157
17;2024-01-26;21:41:34.0000000;151
18;2022-11-24;11:58:33.0000000;101
19;2023-05-15;20:23:46.0000000;190
20;2023-06-24;03:08:10.0000000;116
21;2024-07-08;11:34:35.0000000;558
22;2023-12-09;02:18:45.0000000;379
23;2022-06-12;09:38:59.0000000;116
24;2024-05-19;23:07:16.0000000;346
25;2024-09-21;16:41:36.0000000;567
26;2024-12-07;13:13:18.0000000;684
27;2024-09-12;21:54:51.0000000;95
28;2023-07-12;10:55:43.0000000;543
29;2023-08-10;10:32:20.0000000;657
30;2024-12-27;06:56:06.0000000;177
31;2024-09-11;19:20:29.0000000;472
32;2024-05-28;00:17:15.0000000;112
33;2024-09-28;10:22:23.0000000;873
34;2022-07-20;06:14:20.0000000;625
35;2023-09-28;12:15:47.0000000;38
36;2023-05-23;23:03:55.0000000;942
37;2024-03-20;21:52:23.0000000;191
38;2024-09-20;08:30:15.0000000;648
39;2024-02-17;11:08:45.0000000;82
40;2022-01-28;03:50:04.0000000;63
41;2022-01-17;04:29:32.0000000;846
42;2023-05-05;08:14:54.0000000;415
43;2024-04-16;05:25:12.0000000;598
44;2023-07-07;06:59:26.0000000;1006
45;2024-02-17;21:24:15.0000000;223
46;2023-05-13;01:35:44.0000000;743
47;2023-09-22;17:06:29.0000000;303
48;2022-09-04;03:54:41.0000000;160
49;2023-12-10;12:20:44.0000000;163
50;2024-02-21;09:06:02.0000000;885
51;2023-12-01;16:29:12.0000000;102
52;2023-08-16;10:05:31.0000000;91
53;2024-09-19;18:29:37.0000000;378
54;2024-08-04;14:19:13.0000000;511
55;2022-03-27;23:17:13.0000000;113
56;2024-04-12;09:48:43.0000000;905
