1;2023-05-05;02:32:08.0000000;2001;480
2;2023-09-30;10:19:30.0000000;573;43
3;2023-05-11;14:30:02.0000000;1221;203
4;2024-12-25;23:26:28.0000000;3167;634
5;2023-02-08;06:39:22.0000000;3035;784
6;2022-08-13;05:17:39.0000000;2721;290
7;2022-01-01;18:12:00.0000000;3148;285
8;2022-10-13;13:04:26.0000000;2456;601
9;2023-11-16;03:27:57.0000000;674;405
10;2022-02-05;09:46:15.0000000;2847;1011
11;2022-01-28;21:33:58.0000000;688;471
12;2024-01-07;16:38:26.0000000;1692;252
13;2023-10-21;06:01:19.0000000;2957;976
14;2024-04-13;20:07:31.0000000;1829;257
15;2023-04-20;01:26:58.0000000;3091;919
16;2023-11-05;12:56:11.0000000;2197;544
17;2024-05-23;17:46:17.0000000;3322;679
18;2022-09-12;20:27:30.0000000;3430;130
19;2024-07-07;07:26:25.0000000;2788;596
20;2022-11-03;06:11:47.0000000;1901;204
21;2024-11-25;00:21:45.0000000;1574;408
22;2022-03-20;02:58:11.0000000;1724;688
23;2022-01-22;13:02:29.0000000;827;559
24;2022-10-25;23:07:13.0000000;3585;154
25;2023-03-25;21:39:11.0000000;2636;433
26;2022-08-10;23:49:48.0000000;1530;972
27;2023-03-20;20:03:18.0000000;430;588
28;2022-04-24;16:01:33.0000000;520;90
29;2023-08-21;17:32:07.0000000;3135;597
30;2022-05-29;01:52:53.0000000;1850;148
31;2023-12-16;22:23:24.0000000;3413;773
32;2022-12-19;19:37:19.0000000;919;30
33;2023-05-24;21:27:46.0000000;1441;430
34;2022-02-01;10:21:07.0000000;228;126
35;2024-03-16;17:22:49.0000000;1541;128
36;2022-10-10;18:41:45.0000000;344;1006
37;2022-09-10;17:20:35.0000000;125;697
38;2024-07-06;19:47:18.0000000;415;509
39;2023-05-06;18:39:22.0000000;608;383
40;2024-08-02;07:39:50.0000000;1185;342
41;2023-03-27;23:15:33.0000000;3414;989
42;2024-01-09;10:00:44.0000000;2899;859
43;2022-07-05;07:52:57.0000000;2530;707
44;2022-01-28;00:11:12.0000000;334;10
45;2024-08-01;05:19:21.0000000;893;608
46;2022-03-24;00:37:43.0000000;2988;970
47;2023-11-14;17:40:16.0000000;1743;884
48;2024-04-26;23:03:45.0000000;1190;285
49;2023-05-08;05:55:03.0000000;509;789
50;2022-11-24;15:12:19.0000000;1729;665
51;2024-01-18;20:48:41.0000000;267;722
52;2024-04-04;19:16:10.0000000;2057;52
53;2024-06-17;01:06:05.0000000;77;436
54;2022-02-15;16:26:26.0000000;1000;723
55;2022-03-03;06:25:54.0000000;1768;716
56;2023-03-10;17:36:05.0000000;1455;988
57;2022-11-10;13:15:08.0000000;1716;587
58;2023-06-27;09:17:18.0000000;2747;424
59;2024-01-26;03:09:55.0000000;1487;616
60;2024-09-04;23:14:26.0000000;2164;835
61;2024-01-19;15:51:32.0000000;3231;485
62;2024-10-02;00:44:13.0000000;93;615
63;2024-09-22;23:12:46.0000000;1935;482
64;2023-04-18;03:08:48.0000000;1594;207
65;2024-10-31;05:34:47.0000000;3071;67
66;2024-05-17;10:26:03.0000000;3239;111
67;2024-02-03;12:08:41.0000000;997;475
68;2024-11-03;17:23:27.0000000;2393;181
69;2023-08-31;18:41:11.0000000;191;283
70;2022-04-07;09:08:53.0000000;1396;265
71;2023-07-17;03:56:55.0000000;3201;463
72;2023-04-19;08:18:06.0000000;1970;384
73;2022-09-22;15:10:56.0000000;562;741
74;2023-12-22;01:13:03.0000000;3189;567
75;2023-04-24;13:39:43.0000000;1211;29
76;2023-06-12;23:57:59.0000000;3250;19
77;2024-04-03;05:43:22.0000000;181;305
78;2023-09-12;04:06:06.0000000;1280;603
79;2022-12-01;04:28:29.0000000;3349;435
80;2023-11-11;04:24:25.0000000;1047;129
81;2022-12-03;23:13:53.0000000;2659;450
82;2022-03-13;08:14:35.0000000;1472;461
83;2022-06-20;01:07:42.0000000;2695;901
84;2022-04-20;23:47:13.0000000;519;177
85;2024-08-03;12:48:03.0000000;1648;519
86;2023-11-13;14:31:14.0000000;1593;317
87;2022-09-23;11:57:32.0000000;775;400
88;2024-08-18;14:33:20.0000000;2047;766
89;2023-06-14;15:13:56.0000000;3275;939
90;2023-01-14;08:13:38.0000000;3291;933
91;2022-05-17;01:08:09.0000000;1748;906
92;2022-04-24;11:23:52.0000000;2477;788
93;2023-08-31;11:34:44.0000000;1213;183
94;2024-06-12;21:45:59.0000000;337;175
95;2023-03-05;06:34:32.0000000;1220;618
96;2024-12-09;03:19:43.0000000;2478;749
97;2023-01-01;20:49:53.0000000;2835;829
98;2022-08-14;09:31:31.0000000;1841;108
99;2023-07-05;22:48:07.0000000;3573;57
100;2023-12-16;11:09:07.0000000;1791;289
101;2024-10-31;14:18:15.0000000;3251;57
102;2024-06-16;12:25:19.0000000;2759;868
103;2023-05-16;04:48:19.0000000;2111;802
104;2023-04-25;10:16:39.0000000;137;666
105;2023-03-23;17:29:22.0000000;2498;950
106;2022-04-06;17:38:31.0000000;527;443
107;2022-09-14;23:59:08.0000000;3198;977
108;2023-07-14;20:41:18.0000000;1578;982
109;2024-11-10;23:32:54.0000000;2488;856
110;2023-09-29;07:13:16.0000000;1852;292
111;2023-02-08;19:53:45.0000000;1828;860
112;2022-03-26;12:47:31.0000000;573;903
113;2024-11-16;18:40:16.0000000;1640;627
114;2024-05-03;16:23:56.0000000;1151;221
115;2024-10-09;09:53:17.0000000;474;152
116;2024-01-26;23:06:17.0000000;772;180
117;2022-04-17;23:59:59.0000000;1595;657
118;2022-02-16;13:02:45.0000000;1082;485
119;2023-06-07;03:55:11.0000000;1837;287
120;2022-03-21;04:21:38.0000000;1179;723
121;2023-11-17;18:37:16.0000000;512;891
122;2023-07-12;08:13:48.0000000;313;476
123;2024-01-31;23:11:20.0000000;2931;598
124;2022-11-10;07:25:56.0000000;3329;263
125;2023-03-19;19:26:03.0000000;1433;924
126;2023-02-06;10:58:57.0000000;2230;496
127;2024-12-30;14:58:36.0000000;1238;800
128;2022-04-17;18:12:15.0000000;2916;137
129;2022-07-28;10:35:30.0000000;1490;647
130;2023-06-27;22:33:12.0000000;507;105
131;2023-01-12;10:10:35.0000000;578;469
132;2022-06-17;02:27:14.0000000;2033;432
133;2022-06-08;08:54:17.0000000;2279;1008
134;2024-11-12;08:55:58.0000000;1924;926
135;2023-03-19;07:11:19.0000000;2516;263
136;2022-08-29;20:01:27.0000000;1276;150
137;2023-07-05;05:38:52.0000000;2954;61
138;2024-10-01;11:05:03.0000000;1692;382
139;2023-05-12;02:15:47.0000000;2364;260
140;2022-09-23;14:24:52.0000000;1308;446
141;2024-06-26;02:16:55.0000000;1918;114
142;2023-10-08;06:29:52.0000000;535;839
143;2023-09-06;19:44:18.0000000;2417;644
144;2022-08-14;13:27:04.0000000;538;443
145;2022-07-12;22:16:04.0000000;3566;777
146;2024-05-15;20:46:51.0000000;518;476
147;2023-11-23;06:57:20.0000000;1255;535
148;2022-02-24;15:01:43.0000000;1331;441
149;2023-11-26;08:39:46.0000000;2135;148
150;2023-05-06;13:09:57.0000000;333;499
151;2022-01-29;13:55:30.0000000;2611;880
152;2022-05-28;03:41:27.0000000;522;283
153;2022-08-18;12:01:30.0000000;2195;791
154;2024-05-16;18:59:59.0000000;2635;34
155;2023-11-27;12:33:03.0000000;2388;11
156;2023-05-09;11:01:47.0000000;2708;971
157;2023-05-02;22:27:01.0000000;2488;216
158;2023-08-29;16:24:30.0000000;2318;121
159;2023-06-08;07:09:58.0000000;3548;268
160;2023-10-19;09:28:05.0000000;196;119
161;2022-07-08;19:01:44.0000000;2677;948
162;2024-05-24;12:59:29.0000000;2353;216
163;2024-02-11;23:10:22.0000000;2627;742
164;2024-06-02;00:38:55.0000000;2578;107
165;2022-03-17;10:01:31.0000000;2639;175
166;2023-11-26;22:28:02.0000000;1013;469
167;2022-08-07;15:23:59.0000000;1867;161
168;2022-10-19;07:10:40.0000000;255;417
169;2023-07-12;07:17:04.0000000;1712;874
170;2024-03-21;05:39:29.0000000;845;550
171;2022-04-09;15:45:41.0000000;598;221
172;2023-08-18;13:16:24.0000000;2952;938
173;2024-01-29;00:11:42.0000000;3535;828
174;2024-09-04;22:37:09.0000000;1643;331
175;2024-06-10;22:16:52.0000000;1527;479
176;2022-07-30;03:06:52.0000000;444;745
177;2023-02-13;00:57:16.0000000;1920;272
178;2023-03-03;19:11:02.0000000;1851;643
179;2024-08-22;13:27:04.0000000;406;89
180;2023-08-29;11:21:35.0000000;1583;60
181;2022-04-23;05:06:18.0000000;1026;159
182;2022-03-23;09:34:56.0000000;1351;700
183;2023-04-09;05:35:56.0000000;1290;552
184;2022-05-08;14:04:36.0000000;662;158
185;2024-08-30;14:40:14.0000000;1922;511
186;2023-07-31;17:22:02.0000000;1273;346
187;2023-08-29;17:06:18.0000000;378;303
188;2024-01-08;21:50:38.0000000;1882;764
189;2024-03-03;12:32:03.0000000;2399;636
190;2024-06-14;04:02:52.0000000;217;779
191;2023-12-13;15:41:57.0000000;2457;427
192;2024-01-13;16:44:22.0000000;2208;469
193;2023-04-24;21:13:00.0000000;450;970
194;2023-10-08;03:26:08.0000000;1093;247
195;2023-05-25;17:06:11.0000000;1661;346
196;2024-04-17;20:47:19.0000000;1650;724
197;2022-12-15;17:46:37.0000000;2311;242
198;2023-08-05;08:11:13.0000000;2276;18
199;2023-09-28;14:24:56.0000000;1592;105
200;2023-01-14;22:50:36.0000000;3140;243
201;2024-11-02;13:09:03.0000000;3390;10
202;2024-01-03;16:09:53.0000000;2512;374
203;2024-04-02;10:45:20.0000000;406;584
204;2024-08-20;00:32:09.0000000;3265;106
205;2022-01-23;14:40:50.0000000;1507;852
206;2023-06-09;11:18:04.0000000;2477;25
207;2023-07-11;03:45:52.0000000;2058;400
208;2024-01-03;16:06:39.0000000;169;174
209;2024-11-24;05:01:00.0000000;1374;282
210;2023-09-11;21:18:50.0000000;1881;79
211;2024-03-31;10:38:58.0000000;2121;733
212;2023-03-18;01:11:46.0000000;2521;344
213;2023-12-06;16:01:12.0000000;1619;329
214;2024-08-12;20:45:55.0000000;3461;617
215;2022-11-02;00:02:09.0000000;1387;393
216;2023-05-06;08:58:32.0000000;2097;100
217;2023-07-26;17:34:18.0000000;2912;398
218;2024-12-03;07:02:01.0000000;1955;640
219;2023-01-05;09:04:59.0000000;1366;558
